District, lat,lng
District 1, 10.7745397,106.6991836
District 2, 10.7911157,106.7367293
District 3, 10.7835291,106.6870984
District 4, 10.7592431,106.7048897
District 5, 10.7558399,106.6600163
District 6, 10.746928,106.6344946
District 7, 10.7365728,106.7224322
District 8, 10.7228825,106.6278244
District 9, 10.8245429,106.8180145
District 10, 10.773198,106.6678329
District 11, 10.764006, 106.648642
District 12, 10.8613975,106.6255926
Go Vap, 10.84015,106.6710828
Tan Binh, 10.7979794,106.6538054
Tan Phu, 10.7914555,106.5922991
Binh Thanh, 10.8046591,106.7078477
Binh Tan, 10.7498093,106.6056635
Phu Nhuan, 10.8001182,106.6770417
Thu Duc, 10.852588,106.7558383
