,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,District 1,10.7745397,106.69918359999998,Pizza 4P's,10.77330135301938,106.69759947485072,Pizza Place
1,District 1,10.7745397,106.69918359999998,Pasteur Street Brewing Company,10.77522,106.700894,Brewery
2,District 1,10.7745397,106.69918359999998,Park Hyatt Saigon,10.777573945426527,106.70360889230898,Hotel
3,District 1,10.7745397,106.69918359999998,Silverland Yen Hotel,10.774849922100469,106.69616040962687,Hotel
4,District 1,10.7745397,106.69918359999998,Takashimaya,10.773193707180177,106.70107457707464,Department Store
5,District 1,10.7745397,106.69918359999998,"Hum Vegetarian, Lounge & Restaurant",10.77668421646214,106.70587252851817,Vegetarian / Vegan Restaurant
6,District 1,10.7745397,106.69918359999998,"L'Usine: Cafe, Bistro & Lifestyle Shop",10.775993909302073,106.7031864987467,Café
7,District 1,10.7745397,106.69918359999998,Heart Of Darkness,10.779781,106.702999,Bar
8,District 1,10.7745397,106.69918359999998,Quán Lộc Thành,10.772471815116436,106.69844093392584,Vietnamese Restaurant
9,District 1,10.7745397,106.69918359999998,Maison Marou Saigon,10.769666838302594,106.69792482483172,Dessert Shop
10,District 1,10.7745397,106.69918359999998,The Alley Cocktail Bar & Kitchen,10.774759614740848,106.70060492162908,Speakeasy
11,District 1,10.7745397,106.69918359999998,Propaganda,10.778912622927256,106.69789343017,Vietnamese Restaurant
12,District 1,10.7745397,106.69918359999998,Fusion Suites Sai Gon,10.772772887251579,106.689894104782,Hotel
13,District 1,10.7745397,106.69918359999998,Pizza 4P's,10.78222351254141,106.70497084169759,Pizza Place
14,District 1,10.7745397,106.69918359999998,"Hum Vegetarian, Café & Restaurant",10.778750194659068,106.6922079986444,Vegetarian / Vegan Restaurant
15,District 1,10.7745397,106.69918359999998,Pizza 4P’s Hai Bà Trưng,10.783017468089634,106.69701706127131,Pizza Place
16,District 1,10.7745397,106.69918359999998,B3 - Steakhouse & Craft Beer,10.775190128194758,106.70249153306926,Steakhouse
